reportModify:
2004-06	10
2004-07	4
2004-08	8
2004-09	0
2004-10	0
2004-11	0
2004-12	0
2005-01	0
2005-02	0
2005-03	0
2005-04	0
2005-05	0
2005-06	0
2005-07	0
2005-08	0
2005-09	0
2005-10	0
2005-11	0
2005-12	0
2006-01	0
2006-02	2
2006-03	0
2006-04	0
2006-05	0
2006-06	0
2006-07	0
2006-08	0
2006-09	0
2006-10	0
2006-11	0
2006-12	0
2007-01	0
2007-02	0
2007-03	0
2007-04	0
2007-05	0
2007-06	0
2007-07	0
2007-08	0
2007-09	0
2007-10	0
2007-11	4
reportStart:
2004-06	1
2004-07	0
2004-08	0
2004-09	0
2004-10	0
2004-11	0
2004-12	0
2005-01	0
2005-02	0
2005-03	0
2005-04	0
2005-05	0
2005-06	0
2005-07	0
2005-08	0
2005-09	0
2005-10	0
2005-11	0
2005-12	0
2006-01	0
2006-02	0
2006-03	0
2006-04	0
2006-05	0
2006-06	0
2006-07	0
2006-08	0
2006-09	0
2006-10	0
2006-11	0
2006-12	0
2007-01	0
2007-02	0
2007-03	0
2007-04	0
2007-05	0
2007-06	0
2007-07	0
2007-08	0
2007-09	0
2007-10	0
2007-11	0
commentTime:
2004-06	2
2004-07	2
2004-08	4
2004-09	0
2004-10	0
2004-11	0
2004-12	0
2005-01	0
2005-02	0
2005-03	0
2005-04	0
2005-05	0
2005-06	0
2005-07	0
2005-08	0
2005-09	0
2005-10	0
2005-11	0
2005-12	0
2006-01	0
2006-02	0
2006-03	0
2006-04	0
2006-05	0
2006-06	0
2006-07	0
2006-08	0
2006-09	0
2006-10	0
2006-11	0
2006-12	0
2007-01	0
2007-02	0
2007-03	0
2007-04	0
2007-05	0
2007-06	0
2007-07	0
2007-08	0
2007-09	0
2007-10	0
2007-11	1
